g, 2, 0
r, 0, 49
g, 33, 0
b, 17, 24
r, 27, 49
b, 47, 49
g, 48, 9
r, 0, 28
b, 33, 17
b, 17, 7
r, 13, 40
r, 30, 33
r, 0, 14
b, 37, 43
b, 3, 38
r, 46, 19
g, 11, 16
g, 23, 15
r, 43, 0
r, 17, 49
r, 38, 8
b, 10, 30
b, 19, 33
r, 23, 0
r, 46, 40
r, 11, 0
r, 26, 25
b, 22, 42
g, 28, 8
r, 37, 26
g, 6, 8
b, 8, 47
b, 4, 21
r, 39, 34
b, 40, 15
g, 29, 40
b, 0, 6
g, 10, 23
r, 17, 14
b, 36, 49
b, 49, 0
g, 32, 23
g, 33, 11
b, 40, 21
r, 49, 25
g, 49, 33
r, 2, 44
b, 5, 32
b, 6, 14
g, 11, 6
g, 21, 20
b, 25, 31
g, 28, 2
r, 28, 19
g, 41, 47
r, 5, 26
r, 8, 39
g, 12, 11
b, 15, 29
g, 16, 2
g, 22, 5
b, 22, 48
g, 41, 39
r, 43, 7
r, 45, 14
r, 0, 33
b, 13, 34
g, 13, 45
g, 20, 28
r, 23, 10
r, 23, 36
b, 28, 13
g, 31, 46
g, 32, 28
b, 33, 5
g, 34, 39
b, 38, 0
r, 49, 44
r, 0, 23
r, 4, 4
g, 15, 20
g, 18, 40
g, 26, 44
r, 19, 45
g, 36, 31
r, 43, 24
g, 43, 43
r, 44, 36
b, 46, 3
b, 49, 16
r, 3, 17
b, 4, 48
g, 7, 18
r, 7, 43
g, 8, 3
b, 9, 35
b, 22, 24
r, 36, 14
g, 39, 4
b, 40, 30
g, 42, 11
r, 0, 10
r, 27, 36
b, 34, 35
r, 36, 21
b, 49, 29
g, 49, 37
b, 0, 40
r, 3, 12
g, 6, 0
b, 11, 49
r, 12, 26
g, 15, 37
r, 20, 2
g, 26, 5
g, 28, 28
g, 32, 42
b, 38, 18
b, 45, 46
b, 49, 5
r, 4, 35
b, 6, 29
b, 9, 9
b, 10, 19
g, 10, 42
g, 12, 3
b, 14, 8
b, 14, 48
g, 16, 32
b, 16, 44
g, 18, 10
r, 18, 21
r, 20, 16
g, 22, 32
b, 23, 27
g, 24, 19
r, 26, 16
r, 26, 39
g, 29, 22
g, 32, 8
r, 33, 32
g, 34, 45
g, 36, 3
b, 37, 38
r, 40, 44
r, 41, 27
r, 42, 3
b, 42, 33
g, 45, 10
b, 48, 13
g, 0, 37
g, 3, 9
b, 8, 26
g, 13, 23
g, 17, 17
r, 18, 37
g, 23, 39
r, 26, 22
b, 29, 5
r, 29, 25
g, 29, 43
b, 30, 36
g, 33, 49
g, 36, 11
g, 37, 46
r, 40, 24
b, 45, 33
r, 46, 0
g, 46, 6
b, 46, 22
g, 49, 19
g, 49, 22
g, 49, 41
b, 2, 30
b, 3, 24
g, 4, 42
r, 11, 38
b, 15, 5
g, 18, 0
g, 18, 30
r, 21, 13
b, 24, 3
g, 25, 8
b, 25, 12
g, 26, 0
g, 30, 10
r, 31, 2
b, 42, 19
b, 47, 27
r, 47, 35
g, 1, 2
r, 1, 25
b, 1, 42
r, 1, 46
r, 2, 19
g, 2, 22
b, 2, 27
r, 4, 15
r, 5, 6
b, 5, 10
r, 5, 19
b, 5, 39
b, 5, 44
b, 6, 34
b, 6, 41
b, 6, 46
g, 7, 5
b, 7, 24
g, 7, 37
r, 8, 13
b, 9, 21
b, 10, 46
b, 12, 18
r, 12, 29
b, 12, 36
r, 13, 1
b, 14, 42
b, 15, 10
g, 15, 46
r, 16, 27
b, 18, 47
r, 19, 8
g, 19, 12
b, 19, 26
r, 19, 42
r, 20, 31
g, 20, 36
g, 21, 7
r, 21, 34
g, 21, 40
b, 21, 44
g, 22, 17
r, 22, 29
r, 23, 21
