g, 2, 0
r, 49, 0
g, 0, 49
b, 25, 14
r, 49, 25
b, 3, 25
g, 49, 48
r, 13, 38
b, 33, 0
b, 18, 0
r, 39, 13
r, 34, 27
r, 10, 11
b, 17, 25
b, 42, 38
r, 0, 37
g, 17, 49
g, 36, 49
r, 0, 14
r, 49, 14
r, 25, 31
b, 26, 49
b, 8, 45
r, 26, 5
r, 10, 30
r, 41, 3
r, 32, 19
b, 10, 1
g, 10, 21
r, 18, 10
g, 21, 41
b, 40, 21
b, 42, 30
r, 32, 10
b, 49, 33
g, 23, 21
b, 35, 36
g, 47, 7
r, 17, 17
b, 42, 45
b, 49, 41
g, 4, 8
g, 19, 34
b, 6, 39
r, 4, 31
g, 15, 5
r, 28, 24
b, 31, 46
b, 37, 42
g, 46, 19
g, 4, 18
b, 37, 7
g, 2, 44
r, 24, 0
g, 30, 33
r, 9, 6
r, 11, 16
g, 16, 44
b, 42, 8
g, 9, 35
g, 11, 49
b, 16, 30
g, 21, 46
r, 22, 27
r, 26, 44
r, 31, 5
b, 39, 26
g, 0, 4
g, 6, 14
r, 8, 25
r, 22, 7
b, 23, 36
g, 36, 17
g, 36, 31
b, 43, 15
g, 44, 26
b, 0, 22
r, 0, 28
r, 11, 42
r, 36, 23
g, 38, 0
g, 39, 34
g, 46, 36
r, 0, 9
g, 4, 48
r, 6, 2
g, 12, 26
r, 18, 21
b, 21, 13
b, 22, 17
r, 27, 9
b, 29, 13
g, 29, 29
r, 45, 2
g, 46, 11
b, 46, 44
b, 0, 32
r, 4, 35
g, 13, 34
b, 14, 10
g, 14, 21
r, 27, 36
r, 28, 19
b, 32, 23
r, 33, 40
b, 42, 49
g, 46, 30
b, 0, 41
r, 3, 12
g, 5, 22
b, 6, 28
r, 8, 18
g, 16, 13
r, 20, 30
g, 22, 3
g, 28, 2
g, 32, 15
b, 35, 4
b, 35, 12
b, 35, 45
r, 39, 47
b, 40, 17
b, 44, 22
b, 44, 33
g, 49, 4
g, 1, 17
b, 3, 3
b, 3, 38
g, 5, 43
b, 12, 4
g, 13, 0
r, 13, 45
r, 14, 41
g, 14, 48
b, 18, 6
g, 18, 37
r, 23, 10
r, 25, 18
g, 25, 25
g, 26, 28
r, 26, 39
g, 32, 30
g, 32, 37
b, 35, 20
r, 36, 39
r, 41, 41
r, 45, 47
b, 46, 40
g, 49, 29
b, 49, 37
g, 3, 28
g, 8, 42
b, 8, 48
g, 18, 40
g, 21, 0
r, 22, 24
g, 23, 49
r, 29, 43
b, 29, 49
r, 33, 49
g, 34, 7
b, 38, 3
g, 39, 29
g, 39, 37
g, 41, 0
r, 42, 11
b, 46, 15
r, 49, 17
g, 49, 22
b, 49, 44
g, 2, 6
g, 2, 20
g, 12, 19
b, 12, 23
b, 13, 7
g, 16, 2
r, 16, 8
b, 19, 43
g, 22, 32
g, 23, 39
r, 24, 42
b, 26, 22
g, 30, 8
b, 31, 2
g, 31, 27
g, 33, 34
r, 38, 19
b, 39, 9
b, 39, 44
r, 42, 19
g, 47, 27
r, 1, 2
b, 1, 39
r, 1, 46
r, 2, 23
g, 2, 30
b, 4, 5
r, 4, 15
r, 5, 10
b, 5, 26
r, 5, 33
b, 6, 17
b, 6, 36
b, 6, 46
b, 7, 5
b, 7, 30
g, 8, 3
b, 8, 10
g, 8, 13
r, 8, 38
b, 9, 40
b, 10, 24
b, 10, 46
r, 11, 36
b, 12, 29
r, 13, 17
b, 14, 3
b, 14, 32
g, 15, 24
r, 15, 28
b, 15, 35
r, 15, 46
g, 16, 20
b, 18, 27
r, 18, 45
r, 19, 8
g, 19, 12
g, 19, 16
r, 19, 48
g, 20, 2
b, 20, 26
g, 20, 36
r, 21, 19
r, 21, 22
b, 22, 44
g, 23, 15
r, 24, 12
g, 24, 29
r, 24, 45
r, 25, 3
r, 25, 8
b, 26, 16
g, 26, 33
b, 27, 30
g, 27, 41
b, 27, 46
r, 28, 6
b, 28, 11
r, 28, 32
r, 29, 22
r, 30, 20
g, 30, 36
g, 32, 42
r, 33, 17
g, 34, 32
b, 34, 43
r, 36, 9
r, 36, 14
r, 37, 21
b, 37, 46
g, 38, 15
g, 38, 40
r, 40, 7
g, 40, 24
b, 40, 31
g, 40, 39
g, 41, 27
g, 43, 4
b, 43, 24
b, 43, 28
r, 43, 43
b, 44, 37
